path_length,manhattan_distance,tortuosity,dead_end_count,junction_3_count,junction_4_count,junction_3_proportion,junction_4_proportion,total_junctions,turn_count,straight_count,total_corridors,total_passage_cells
140,36,3.888888888888889,14,12,0,1.0,0.0,12,10,15,25,199
52,36,1.4444444444444444,11,9,0,1.0,0.0,9,14,5,19,199
140,36,3.888888888888889,11,9,0,1.0,0.0,9,11,8,19,199
124,36,3.4444444444444446,13,11,0,1.0,0.0,11,14,9,23,199
104,36,2.888888888888889,11,9,0,1.0,0.0,9,11,8,19,199
120,36,3.3333333333333335,12,10,0,1.0,0.0,10,13,8,21,199
64,36,1.7777777777777777,14,12,0,1.0,0.0,12,14,11,25,199
52,36,1.4444444444444444,10,8,0,1.0,0.0,8,13,4,17,199
92,36,2.5555555555555554,15,13,0,1.0,0.0,13,15,12,27,199
48,36,1.3333333333333333,12,10,0,1.0,0.0,10,15,6,21,199
88,36,2.4444444444444446,13,11,0,1.0,0.0,11,13,10,23,199
104,36,2.888888888888889,11,9,0,1.0,0.0,9,12,7,19,199
68,36,1.8888888888888888,12,10,0,1.0,0.0,10,11,10,21,199
56,36,1.5555555555555556,12,10,0,1.0,0.0,10,16,5,21,199
112,36,3.111111111111111,9,7,0,1.0,0.0,7,10,5,15,199
140,36,3.888888888888889,9,7,0,1.0,0.0,7,10,5,15,199
120,36,3.3333333333333335,12,10,0,1.0,0.0,10,12,9,21,199
56,36,1.5555555555555556,11,9,0,1.0,0.0,9,10,9,19,199
100,36,2.7777777777777777,14,12,0,1.0,0.0,12,15,10,25,199
72,36,2.0,9,7,0,1.0,0.0,7,9,6,15,199
100,36,2.7777777777777777,13,11,0,1.0,0.0,11,12,11,23,199
108,36,3.0,9,7,0,1.0,0.0,7,6,9,15,199
100,36,2.7777777777777777,12,10,0,1.0,0.0,10,10,11,21,199
116,36,3.2222222222222223,12,10,0,1.0,0.0,10,9,12,21,199
52,36,1.4444444444444444,12,10,0,1.0,0.0,10,13,8,21,199
60,36,1.6666666666666667,12,10,0,1.0,0.0,10,16,5,21,199
