path_length,manhattan_distance,tortuosity,dead_end_count,junction_3_count,junction_4_count,junction_3_proportion,junction_4_proportion,total_junctions,turn_count,straight_count,total_corridors,total_passage_cells
52,36,1.4444444444444444,13,11,0,1.0,0.0,11,13,10,23,199
64,36,1.7777777777777777,11,9,0,1.0,0.0,9,16,3,19,199
68,36,1.8888888888888888,11,9,0,1.0,0.0,9,14,5,19,199
164,36,4.555555555555555,7,5,0,1.0,0.0,5,10,1,11,199
76,36,2.111111111111111,15,13,0,1.0,0.0,13,13,14,27,199
68,36,1.8888888888888888,10,8,0,1.0,0.0,8,10,7,17,199
56,36,1.5555555555555556,11,9,0,1.0,0.0,9,12,7,19,199
116,36,3.2222222222222223,13,11,0,1.0,0.0,11,13,10,23,199
104,36,2.888888888888889,12,10,0,1.0,0.0,10,12,9,21,199
112,36,3.111111111111111,14,10,1,0.9090909090909091,0.09090909090909091,11,16,8,24,199
84,36,2.3333333333333335,14,10,1,0.9090909090909091,0.09090909090909091,11,12,12,24,199
144,36,4.0,11,9,0,1.0,0.0,9,12,7,19,199
152,36,4.222222222222222,14,12,0,1.0,0.0,12,14,11,25,199
60,36,1.6666666666666667,9,7,0,1.0,0.0,7,10,5,15,199
116,36,3.2222222222222223,9,7,0,1.0,0.0,7,11,4,15,199
144,36,4.0,14,10,1,0.9090909090909091,0.09090909090909091,11,13,11,24,199
120,36,3.3333333333333335,9,7,0,1.0,0.0,7,8,7,15,199
68,36,1.8888888888888888,12,10,0,1.0,0.0,10,14,7,21,199
132,36,3.6666666666666665,12,10,0,1.0,0.0,10,13,8,21,199
60,36,1.6666666666666667,13,11,0,1.0,0.0,11,9,14,23,199
104,36,2.888888888888889,10,8,0,1.0,0.0,8,9,8,17,199
64,36,1.7777777777777777,12,10,0,1.0,0.0,10,13,8,21,199
72,36,2.0,9,7,0,1.0,0.0,7,8,7,15,199
120,36,3.3333333333333335,11,9,0,1.0,0.0,9,14,5,19,199
144,36,4.0,14,12,0,1.0,0.0,12,15,10,25,199
72,36,2.0,12,10,0,1.0,0.0,10,14,7,21,199
68,36,1.8888888888888888,12,10,0,1.0,0.0,10,12,9,21,199
