episode,timestep,reward,steps,success
234,54864,269.7401,126,1
235,54953,249.61,89,1
236,55222,333.8099,269,1
237,55335,262.3701,113,1
238,55553,302.82,218,1
239,55733,296.2,180,1
240,55841,249.92,108,1
241,56042,297.49,201,1
242,56114,242.28,72,1
243,56265,280.99,151,1
244,56473,313.9199,208,1
245,56549,254.24,76,1
246,56660,255.39,111,1
247,56731,246.79,71,1
248,56872,275.09,141,1
249,57064,283.08,192,1
250,57247,304.67,183,1
251,57488,315.0899,241,1
252,57710,319.7799,222,1
253,57898,303.12,188,1
254,58036,261.6201,138,1
255,58265,312.2098,229,1
256,58352,246.63,87,1
257,58525,278.7701,173,1
258,58726,310.4899,201,1
259,58877,268.9901,151,1
260,58969,269.0801,92,1
261,59103,269.6601,134,1
262,59287,295.16,184,1
263,59461,296.2601,174,1
264,59550,244.61,89,1
265,59674,265.7601,124,1
266,59852,287.22,178,1
267,60072,317.8,220,1
268,60285,305.3699,213,1
269,60355,240.3,70,1
270,60501,270.54,146,1
271,60623,270.78,122,1
272,60785,280.38,162,1
273,60969,308.1599,184,1
274,61069,261.0,100,1
275,61179,258.9,110,1
276,61257,251.22,78,1
277,61382,274.25,125,1
278,61512,278.7,130,1
279,61660,285.52,148,1
280,61854,306.0599,194,1
281,62011,269.9301,157,1
282,62172,286.89,161,1
283,62363,300.5899,191,1
284,62485,269.7801,122,1
285,62581,251.04,96,1
286,62851,324.2998,270,1
287,62973,263.7801,122,1
288,63165,304.0799,192,1
289,63381,292.8399,216,1
290,63462,253.6901,81,1
291,63653,300.59,191,1
292,63711,241.42,58,1
293,63867,283.44,156,1
294,64071,315.9599,204,1
295,64167,252.04,96,1
296,64293,254.7401,126,1
297,64377,245.16,84,1
298,64517,274.6,140,1
299,64675,285.42,158,1
300,64859,302.16,184,1
301,65055,320.0399,196,1
302,65281,321.7398,226,1
303,65465,298.16,184,1
304,65571,267.9401,106,1
305,65761,311.1,190,1
306,65830,248.81,69,1
307,65980,283.5,150,1
308,66176,306.04,196,1
309,66295,275.31,119,1
310,66417,264.7801,122,1
311,66526,277.41,109,1
312,66693,295.83,167,1
313,66883,298.1001,190,1
314,66954,247.79,71,1
315,67081,265.2301,127,1
316,67240,296.91,159,1
317,67461,319.2899,221,1
318,67641,314.1999,180,1
319,67703,242.38,62,1
320,67841,270.6201,138,1
321,67967,269.74,126,1
322,68103,285.64,136,1
323,68292,310.6099,189,1
324,68409,259.3301,117,1
325,68508,263.51,99,1
326,68571,251.87,63,1
327,68702,276.19,131,1
328,68859,275.9301,157,1
329,69008,290.01,149,1
330,69180,312.28,172,1
331,69299,273.31,119,1
332,69453,287.46,154,1
333,69644,304.59,191,1
334,69773,273.2101,129,1
335,69860,253.63,87,1
336,70096,336.64,236,1
337,70191,267.5501,95,1
338,70369,311.2199,178,1
339,70551,299.18,182,1
340,70626,253.75,75,1
341,70791,299.85,165,1
342,70862,241.79,71,1
